TIMEH,TEMPH,DTEMPH,SAMPLE,LON,LAT,HEIGHT,
100,310.171,20,KingCanyon7,-119.23333,37.203888,1524,
99.6552,310.138,20,,,,,
99.3103,310.092,20,,,,,
98.9655,309.989,20,,,,,
98.6207,309.778,20,,,,,
98.2759,309.426,20,,,,,
97.931,308.933,20,,,,,
97.5862,308.305,20,,,,,
97.2414,307.546,20,,,,,
96.8966,306.643,20,,,,,
96.5517,305.556,20,,,,,
96.2069,304.336,20,,,,,
95.8621,302.991,20,,,,,
95.5172,301.529,20,,,,,
95.1724,299.956,20,,,,,
94.8276,298.224,20,,,,,
94.4828,296.3,20,,,,,
94.1379,294.265,20,,,,,
93.7931,292.125,20,,,,,
93.4483,289.887,20,,,,,
93.1034,287.556,20,,,,,
92.7586,285.039,20,,,,,
92.4138,282.335,20,,,,,
92.069,279.539,20,,,,,
91.7241,276.655,20,,,,,
91.3793,273.69,20,,,,,
91.0345,270.648,20,,,,,
90.6897,267.382,20,,,,,
90.3448,263.947,20,,,,,
90,260.438,20,,,,,
89.6552,256.858,20,,,,,
89.3103,253.212,20,,,,,
88.9655,249.504,20,,,,,
88.6207,245.526,20,,,,,
88.2759,241.411,20,,,,,
87.931,237.237,20,,,,,
87.5862,233.006,20,,,,,
87.2414,228.724,20,,,,,
86.8966,224.393,20,,,,,
86.5517,219.742,20,,,,,
86.2069,214.992,20,,,,,
85.8621,210.197,20,,,,,
85.5172,205.359,20,,,,,
85.1724,200.482,20,,,,,
84.8276,195.567,20,,,,,
84.4828,190.275,20,,,,,
84.1379,184.931,20,,,,,
83.7931,179.554,20,,,,,
83.4483,174.145,20,,,,,
83.1034,168.706,20,,,,,
82.7586,163.212,20,,,,,
82.4138,157.331,20,,,,,
82.069,151.424,20,,,,,
81.7241,145.491,20,,,,,
81.3793,139.535,20,,,,,
81.0345,133.558,20,,,,,
80.6897,127.479,20,,,,,
80.3448,121.012,20,,,,,
80,114.527,20,,,,,
79.6507,108.746,20,,,,,
79.3013,104.37,20,,,,,
78.952,101.032,20,,,,,
78.6026,98.0819,20,,,,,
78.2533,95.5708,20,,,,,
77.9039,93.2757,20,,,,,
77.5546,91.2255,20,,,,,
77.2052,89.3197,20,,,,,
76.8559,87.5738,20,,,,,
76.5066,85.934,20,,,,,
76.1572,84.4098,20,,,,,
75.8079,82.9685,20,,,,,
75.4585,81.6165,20,,,,,
75.1092,80.332,20,,,,,
74.7598,79.1195,20,,,,,
74.4105,77.9635,20,,,,,
74.0611,76.8673,20,,,,,
73.7118,75.8193,20,,,,,
73.3624,74.8218,20,,,,,
73.0131,73.8661,20,,,,,
72.6638,72.9537,20,,,,,
72.3144,72.0777,20,,,,,
71.9651,71.2393,20,,,,,
71.6157,70.433,20,,,,,
71.2664,69.6594,20,,,,,
70.917,68.9142,20,,,,,
70.5677,68.1977,20,,,,,
70.2183,67.5063,20,,,,,
69.869,66.8402,20,,,,,
69.5197,66.1964,20,,,,,
69.1703,65.575,20,,,,,
68.821,64.9734,20,,,,,
68.4716,64.3916,20,,,,,
68.1223,63.8275,20,,,,,
67.7729,63.2809,20,,,,,
67.4236,62.75,20,,,,,
67.0742,62.2347,20,,,,,
66.7249,61.7334,20,,,,,
66.3755,61.2459,20,,,,,
66.0262,60.7709,20,,,,,
65.6769,60.3081,20,,,,,
65.3275,59.8564,20,,,,,
64.9782,59.4155,20,,,,,
64.6288,58.9846,20,,,,,
64.2795,58.5633,20,,,,,
63.9301,58.1507,20,,,,,
63.5808,57.7468,20,,,,,
63.2314,57.3506,20,,,,,
62.8821,56.962,20,,,,,
62.5328,56.5804,20,,,,,
62.1834,56.2054,20,,,,,
61.8341,55.8366,20,,,,,
61.4847,55.4737,20,,,,,
61.1354,55.1163,20,,,,,
60.786,54.7641,20,,,,,
60.4367,54.4167,20,,,,,
60.0873,54.074,20,,,,,
59.738,53.7355,20,,,,,
59.3886,53.4011,20,,,,,
59.0393,53.0688,20,,,,,
58.69,52.7373,20,,,,,
58.3406,52.4091,20,,,,,
57.9913,52.0841,20,,,,,
57.6419,51.762,20,,,,,
57.2926,51.4428,20,,,,,
56.9432,51.1261,20,,,,,
56.5939,50.8118,20,,,,,
56.2445,50.4998,20,,,,,
55.8952,50.19,20,,,,,
55.5459,49.8821,20,,,,,
55.1965,49.576,20,,,,,
54.8472,49.2717,20,,,,,
54.4978,48.9689,20,,,,,
54.1485,48.6677,20,,,,,
53.7991,48.3678,20,,,,,
53.4498,48.0692,20,,,,,
53.1004,47.7717,20,,,,,
52.7511,47.4754,20,,,,,
52.4017,47.1801,20,,,,,
52.0524,46.8857,20,,,,,
51.7031,46.5922,20,,,,,
51.3537,46.2994,20,,,,,
51.0044,46.0074,20,,,,,
50.655,45.716,20,,,,,
50.3057,45.4252,20,,,,,
49.9563,45.135,20,,,,,
49.607,44.8452,20,,,,,
49.2576,44.5559,20,,,,,
48.9083,44.267,20,,,,,
48.559,43.9784,20,,,,,
48.2096,43.6901,20,,,,,
47.8603,43.4021,20,,,,,
47.5109,43.1143,20,,,,,
47.1616,42.8267,20,,,,,
46.8122,42.5393,20,,,,,
46.4629,42.252,20,,,,,
46.1135,41.9648,20,,,,,
45.7642,41.6776,20,,,,,
45.4148,41.3905,20,,,,,
45.0655,41.1035,20,,,,,
44.7162,40.8164,20,,,,,
44.3668,40.5293,20,,,,,
44.0175,40.2421,20,,,,,
43.6681,39.9549,20,,,,,
43.3188,39.6676,20,,,,,
42.9694,39.3803,20,,,,,
42.6201,39.0927,20,,,,,
42.2707,38.8051,20,,,,,
41.9214,38.5173,20,,,,,
41.5721,38.2294,20,,,,,
41.2227,37.9413,20,,,,,
40.8734,37.653,20,,,,,
40.524,37.3645,20,,,,,
40.1747,37.0757,20,,,,,
39.8253,36.7868,20,,,,,
39.476,36.4977,20,,,,,
39.1266,36.2083,20,,,,,
38.7773,35.9187,20,,,,,
38.4279,35.6288,20,,,,,
38.0786,35.3386,20,,,,,
37.7293,35.0482,20,,,,,
37.3799,34.7576,20,,,,,
37.0306,34.4666,20,,,,,
36.6812,34.1754,20,,,,,
36.3319,33.8838,20,,,,,
35.9825,33.592,20,,,,,
35.6332,33.2999,20,,,,,
35.2838,33.0074,20,,,,,
34.9345,32.7147,20,,,,,
34.5852,32.4216,20,,,,,
34.2358,32.1282,20,,,,,
33.8865,31.8345,20,,,,,
33.5371,31.5405,20,,,,,
33.1878,31.2462,20,,,,,
32.8384,30.9515,20,,,,,
32.4891,30.6565,20,,,,,
32.1397,30.3611,20,,,,,
31.7904,30.0654,20,,,,,
31.441,29.7694,20,,,,,
31.0917,29.473,20,,,,,
30.7424,29.1762,20,,,,,
30.393,28.8791,20,,,,,
30.0437,28.5817,20,,,,,
29.6943,28.2839,20,,,,,
29.345,27.9858,20,,,,,
28.9956,27.6873,20,,,,,
28.6463,27.3884,20,,,,,
28.2969,27.0759,20,,,,,
27.9476,26.7549,20,,,,,
27.5983,26.4334,20,,,,,
27.2489,26.1116,20,,,,,
26.8996,25.7893,20,,,,,
26.5502,25.4667,20,,,,,
26.2009,25.1437,20,,,,,
25.8515,24.8203,20,,,,,
25.5022,24.4965,20,,,,,
25.1528,24.1724,20,,,,,
24.8035,23.8478,20,,,,,
24.4541,23.5229,20,,,,,
24.1048,23.1976,20,,,,,
23.7555,22.8719,20,,,,,
23.4061,22.5459,20,,,,,
23.0568,22.2195,20,,,,,
22.7074,21.8927,20,,,,,
22.3581,21.5656,20,,,,,
22.0087,21.238,20,,,,,
21.6594,20.9102,20,,,,,
21.31,20.5819,20,,,,,
20.9607,20.2534,20,,,,,
20.6114,19.9244,20,,,,,
20.262,19.5951,20,,,,,
19.9127,19.2655,20,,,,,
19.5633,18.9355,20,,,,,
19.214,18.6052,20,,,,,
18.8646,18.2745,20,,,,,
18.5153,17.9435,20,,,,,
18.1659,17.6122,20,,,,,
17.8166,17.2805,20,,,,,
17.4672,16.9485,20,,,,,
17.1179,16.6162,20,,,,,
16.7686,16.2836,20,,,,,
16.4192,15.9506,20,,,,,
16.0699,15.6173,20,,,,,
15.7205,15.2837,20,,,,,
15.3712,14.9498,20,,,,,
15.0218,14.6156,20,,,,,
14.6725,14.2811,20,,,,,
14.3231,13.9463,20,,,,,
13.9738,13.6112,20,,,,,
13.6245,13.2758,20,,,,,
13.2751,12.9401,20,,,,,
12.9258,12.6041,20,,,,,
12.5764,12.2678,20,,,,,
12.2271,11.9312,20,,,,,
11.8777,11.5944,20,,,,,
11.5284,11.2573,20,,,,,
11.179,10.9199,20,,,,,
10.8297,10.5822,20,,,,,
10.4803,10.2443,20,,,,,
10.131,9.90611,20,,,,,
9.78166,9.56766,20,,,,,
9.43231,9.22896,20,,,,,
9.08297,8.89,20,,,,,
8.73362,8.55079,20,,,,,
8.38428,8.21134,20,,,,,
8.03493,7.87165,20,,,,,
7.68559,7.53172,20,,,,,
7.33624,7.19155,20,,,,,
6.9869,6.85115,20,,,,,
6.63755,6.51052,20,,,,,
6.28821,6.16966,20,,,,,
5.93886,5.82859,20,,,,,
5.58952,5.4873,20,,,,,
5.24017,5.14579,20,,,,,
4.89083,4.80407,20,,,,,
4.54148,4.46215,20,,,,,
4.19214,4.12002,20,,,,,
3.84279,3.7777,20,,,,,
3.49345,3.43518,20,,,,,
3.1441,3.09246,20,,,,,
2.79476,2.74956,20,,,,,
2.44541,2.40647,20,,,,,
2.09607,2.0632,20,,,,,
1.74672,1.71976,20,,,,,
1.39738,1.37614,20,,,,,
1.04803,1.03235,20,,,,,
0.69869,0.688392,20,,,,,
0.349345,0.344275,20,,,,,
0,5.26941E-14,20,,,,,